month,brand,price_tier,consider_purchase_tier,decision_tier,purchase_count,revenue,purchase_user_count,avg_time_to_purchase_sec,median_time_to_purchase_sec_approx
10월,xiaomi,고가,12h 이내,30분 내 구매,1458,524736.84,1255,634.75,505.0
10월,xiaomi,고가,12h 이내,5분 내 구매,3454,1248155.29,2362,147.29,135.0
10월,xiaomi,고가,12h 이내,즉시 구매(60s),1822,670898.96,851,36.36,36.0
10월,xiaomi,고가,36h 초과,1시간 초과,15,5353.35,13,,
10월,xiaomi,고가,즉시 구매,즉시 구매(60s),18,6654.85,15,-28.94,-29.5
10월,xiaomi,고가,12h 이내,1시간 초과,51,18904.78,48,6525.78,4981.0
10월,xiaomi,저가,12h 이내,30분 내 구매,456,39562.67,403,627.23,534.5
10월,xiaomi,저가,12h 이내,5분 내 구매,972,83964.47,801,149.41,133.0
10월,xiaomi,저가,12h 이내,즉시 구매(60s),402,34682.07,272,37.07,37.0
10월,xiaomi,저가,12h 이내,1시간 초과,8,699.01,8,5450.62,5108.5
10월,xiaomi,저가,36h 초과,1시간 초과,6,523.66,5,,
10월,xiaomi,저가,12h 이내,1시간 내 구매,16,1364.8,15,2416.0,2392.0
10월,xiaomi,저가,즉시 구매,즉시 구매(60s),1,86.86,1,-4.0,-4.0
10월,xiaomi,중가,12h 이내,1시간 내 구매,474,85901.62,420,2465.61,2365.0
10월,xiaomi,중가,12h 이내,1시간 초과,206,37230.54,183,5843.87,5300.0
10월,xiaomi,중가,12h 이내,30분 내 구매,7395,1308994.49,6423,614.43,501.5
10월,xiaomi,중가,12h 이내,5분 내 구매,15481,2792399.0,11101,152.67,141.0
10월,xiaomi,중가,12h 이내,즉시 구매(60s),6290,1135910.53,3525,37.61,38.0
10월,xiaomi,중가,36h 초과,1시간 초과,67,12229.11,66,,
10월,xiaomi,중가,즉시 구매,즉시 구매(60s),66,11164.25,45,-47.3,-37.0
10월,xiaomi,중가,36h 이내,1시간 초과,1,98.82,1,89066.0,89066.0
10월,zte,저가,12h 이내,5분 내 구매,91,6848.42,76,154.79,149.0
10월,zte,저가,12h 이내,30분 내 구매,38,2819.82,34,520.39,448.0
10월,zte,저가,12h 이내,즉시 구매(60s),32,2377.7,24,38.06,39.0
10월,zte,저가,12h 이내,1시간 내 구매,1,77.2,1,1925.0,1925.0
